VCD info: dumpfile sp.vcd opened for output.

### Test: stack pointer
-------------------------------------------------------------------------------------------------
      TIME     CLK     WE      OP      SP   EXPECTED
       524    0x01    0x00    0x01    0x20    0x20
       528    0x00    0x00    0x01    0x20    0x20
       532    0x01    0x01    0x01    0x20    0x20
       536    0x00    0x01    0x01    0x20    0x20
       540    0x01    0x00    0x01    0x21    0x21
       544    0x00    0x00    0x01    0x21    0x21
       548    0x01    0x01    0x01    0x21    0x21
       552    0x00    0x01    0x01    0x21    0x21
       556    0x01    0x00    0x01    0x22    0x22
       560    0x00    0x00    0x01    0x22    0x22
       564    0x01    0x01    0x01    0x22    0x22
       568    0x00    0x01    0x01    0x22    0x22
       572    0x01    0x00    0x01    0x23    0x23
       576    0x00    0x00    0x01    0x23    0x23
       580    0x01    0x01    0x01    0x23    0x23
       584    0x00    0x01    0x01    0x23    0x23
       588    0x01    0x00    0x01    0x24    0x24
       592    0x00    0x00    0x01    0x24    0x24
       596    0x01    0x01    0x01    0x24    0x24
       600    0x00    0x01    0x01    0x24    0x24
       604    0x01    0x00    0x01    0x25    0x25
       608    0x00    0x00    0x01    0x25    0x25
       612    0x01    0x01    0x01    0x25    0x25
       616    0x00    0x01    0x01    0x25    0x25
       620    0x01    0x00    0x01    0x26    0x26
       624    0x00    0x00    0x01    0x26    0x26
       628    0x01    0x01    0x01    0x26    0x26
       632    0x00    0x01    0x01    0x26    0x26
       636    0x01    0x00    0x01    0x27    0x27
       640    0x00    0x00    0x01    0x27    0x27
       644    0x01    0x01    0x01    0x27    0x27
       648    0x00    0x01    0x01    0x27    0x27
       652    0x01    0x00    0x01    0x28    0x28
       656    0x00    0x00    0x01    0x28    0x28
       660    0x01    0x01    0x01    0x28    0x28
       664    0x00    0x01    0x01    0x28    0x28
       668    0x01    0x00    0x01    0x29    0x29
       672    0x00    0x00    0x01    0x29    0x29
       676    0x01    0x01    0x01    0x29    0x29
       680    0x00    0x01    0x01    0x29    0x29
       684    0x01    0x00    0x01    0x2a    0x2a
       688    0x00    0x00    0x01    0x2a    0x2a
       692    0x01    0x01    0x01    0x2a    0x2a
       696    0x00    0x01    0x01    0x2a    0x2a
